,job_title,time,collected,file_name
299,Flight Attendant,0,0,0
300,Travel Agent,0,0,0
301,Hotel Front Door Greeter,0,0,0
302,Bellhop,0,0,0
303,Cruise Director,0,0,0
304,Entertainment Specialist,0,0,0
305,Hotel Manager,0,0,0
306,Front Desk Associate,0,0,0
307,Front Desk Manager,0,0,0
308,Concierge,0,0,0
309,Group Sales,0,0,0
310,Event Planner,0,0,0
311,Porter,0,0,0
312,Spa Manager,0,0,0
313,Wedding Coordinator,0,0,0
314,Cruise Ship Attendant,0,0,0
315,Casino Host,0,0,0
316,Hotel Receptionist,0,0,0
317,Reservationist,0,0,0
318,Events Manager,0,0,0
319,Meeting Planner,0,0,0
320,Lodging Manager,0,0,0
321,Director of Maintenance,0,0,0
322,Valet,0,0,0
323,Waiter/Waitress,0,0,0
324,Server,0,0,0
325,Chef,0,0,0
326,Fast Food Worker,0,0,0
327,Barista,0,0,0
328,Line Cook,0,0,0
329,Cafeteria Worker,0,0,0
330,Restaurant Manager,0,0,0
331,Wait Staff Manager,0,0,0
332,Bus Person,0,0,0
333,Restaurant Chain Executive,0,0,0
334,Political Scientist,0,0,0
335,Chemist,0,0,0
336,Conservation Scientist,0,0,0
337,Sociologist,0,0,0
338,Biologist,0,0,0
339,Geologist,0,0,0
340,Physicist,0,0,0
341,Astronomer,0,0,0
342,Atmospheric Scientist,0,0,0
343,Molecular Scientist,0,0,0
344,Call Center Representative,0,0,0
345,Customer Service,0,0,0
346,Telemarketer,0,0,0
347,Telephone Operator,0,0,0
348,Phone Survey Conductor,0,0,0
349,Dispatcher for Trucks or Taxis,0,0,0
350,Customer Support Representative,0,0,0
351,Over the Phone Interpreter,0,0,0
352,Phone Sales Specialist,0,0,0
353,Mortgage Loan Processor,0,0,0
354,Counselor,0,0,0
355,Mental Health Counselor,0,0,0
356,Addiction Counselor,0,0,0
357,School Counselor,0,0,0
358,Speech Pathologist,0,0,0
359,Guidance Counselor,0,0,0
360,Social Worker,0,0,0
361,Therapist,0,0,0
362,Life Coach,0,0,0
363,Couples Counselor,0,0,0
364,Beautician,0,0,0
365,Hair Stylist,0,0,0
366,Nail Technician,0,0,0
367,Cosmetologist,0,0,0
368,Salon Manager,0,0,0
369,Makeup Artist,0,0,0
370,Esthetician,0,0,0
371,Skin Care Specialist,0,0,0
372,Manicurist,0,0,0
373,Barber,0,0,0
374,Journalist,0,0,0
375,Copy Editor,0,0,0
376,Editor/Proofreader,0,0,0
377,Content Creator,0,0,0
378,Speechwriter,0,0,0
379,Communications Director,0,0,0
380,Screenwriter,0,0,0
381,Technical Writer,0,0,0
382,Columnist,0,0,0
383,Public Relations Specialist,0,0,0
384,Proposal Writer,0,0,0
385,Content Strategist,0,0,0
386,Grant Writer,0,0,0
387,Video Game Writer,0,0,0
388,Translator,0,0,0
389,Film Critic,0,0,0
390,Copywriter,0,0,0
391,Travel Writer,0,0,0
392,Social Media Specialist,0,0,0
393,Ghostwriter,0,0,0
394,Warehouse Worker,0,0,0
395,Painter,0,0,0
396,Truck Driver,0,0,0
397,Heavy Equipment Operator,0,0,0
398,Welding,0,0,0
399,Physical Therapy Assistant,0,0,0
400,Housekeeper,0,0,0
401,Landscaping Worker,0,0,0
402,Landscaping Assistant,0,0,0
403,Mover,0,0,0
404,Animal Breeder,0,0,0
405,Veterinary Assistant,0,0,0
406,Farm Worker,0,0,0
407,Animal Shelter Worker,0,0,0
408,Dog Walker / Pet Sitter,0,0,0
409,Zoologist,0,0,0
410,Animal Trainer,0,0,0
411,Service Dog Trainer,0,0,0
412,Animal Shelter Manager,0,0,0
413,Animal Control Officer,0,0,0
414,Delivery Driver,0,0,0
415,School Bus Driver,0,0,0
416,Truck Driver,0,0,0
417,Tow Truck Operator,0,0,0
418,UPS Driver,0,0,0
419,Mail Carrier,0,0,0
420,Recyclables Collector,0,0,0
421,Courier,0,0,0
422,Bus Driver,0,0,0
423,Cab Driver,0,0,0
424,Animal Shelter Board Member,0,0,0
425,Office Volunteer,0,0,0
426,Animal Shelter Volunteer,0,0,0
427,Hospital Volunteer,0,0,0
428,Youth Volunteer,0,0,0
429,Food Kitchen Worker,0,0,0
430,Homeless Shelter Worker,0,0,0
431,Conservation Volunteer,0,0,0
432,Meals on Wheels Driver,0,0,0
433,Habitat for Humanity Builder,0,0,0
434,Emergency Relief Worker,0,0,0
435,Red Cross Volunteer,0,0,0
436,Community Food Project Worker,0,0,0
437,Women’s Shelter Jobs,0,0,0
438,Suicide Hotline Volunteer,0,0,0
439,School Volunteer,0,0,0
440,Community Volunteer Jobs,0,0,0
441,Sports Volunteer,0,0,0
442,Church Volunteer,0,0,0
443,Archivist,0,0,0
444,Actuary,0,0,0
445,Architect,0,0,0
446,Personal Assistant,0,0,0
447,Entrepreneur,0,0,0
448,Security Guard,0,0,0
449,Mechanic,0,0,0
450,Recruiter,0,0,0
451,Mathematician,0,0,0
452,Locksmith,0,0,0
453,Management Consultant,0,0,0
454,Shelf Stocker,0,0,0
455,Caretaker or House Sitter,0,0,0
456,Library Assistant,0,0,0
457,Translator,0,0,0
458,HVAC Technician,0,0,0
459,Attorney,0,0,0
460,Paralegal,0,0,0
461,Executive Assistant,0,0,0
462,Personal Assistant,0,0,0
463,Bank Teller,0,0,0
464,Parking Attendant,0,0,0
465,Machinery Operator,0,0,0
466,Manufacturing Assembler,0,0,0
467,Funeral Attendant,0,0,0
468,Assistant Golf Professional,0,0,0
469,Yoga Instructor,0,0,0
